0.5	1.027169
0.56	1.1167512
0.51	1.1100711
0.52	0.951394
0.55	0.85418403
0.57	0.9481699
0.5	0.9697742
0.52	0.844886
0.47	1.0639386
0.56	0.9178203
0.65	0.76344156
0.54	0.8595178
0.5	0.9582889
0.54	0.9157857
0.65	0.7147484
0.55	0.88200074
0.62	0.7977753
0.71	0.68726057
0.51	0.8060776
0.56	0.82048315
0.56	0.799548
0.46	0.96688706
0.51	1.0088445
0.51	0.97460574
0.47	0.94488
0.63	0.68506
0.59	0.87504613
0.64	0.7088432
0.7	0.63342017
0.59	0.7822942
0.68	0.66719055
0.64	0.70900595
0.65	0.68118805
0.62	0.79486907
0.6	0.7394869
0.55	0.831126
0.64	0.77193314
0.56	0.797018
0.63	0.7139726
0.61	0.7268694
0.74	0.64610994
0.61	0.7667043
0.62	0.7713809
0.63	0.74569154
0.61	0.7211745
0.6	0.75842154
0.69	0.6938223
0.6	0.6936814
0.63	0.7319993
0.66	0.75704384
0.6	0.75362265
0.65	0.73109835
0.58	0.78892076
0.72	0.650802
0.58	0.7162727
0.64	0.64383405
0.61	0.7280729
0.69	0.70075244
0.66	0.6762709
0.57	0.712507
0.64	0.69595116
0.68	0.66518915
0.67	0.694637
0.62	0.7290241
0.59	0.7734952
0.7	0.64404494
0.7	0.5902009
0.6	0.78432953
0.69	0.6498517
0.67	0.6985222
0.69	0.6361574
0.57	0.7778307
0.7	0.63424903
0.6	0.67154205
0.7	0.6379836
0.62	0.6192591
0.65	0.6105758
0.66	0.62522596
0.6	0.7460817
0.66	0.64538306
0.61	0.68678397
0.7	0.60778254
0.71	0.62768114
0.69	0.659395
0.59	0.75818026
0.67	0.6940323
0.61	0.6836544
0.65	0.6283661
0.76	0.59546614
0.77	0.52079093
0.61	0.6469109
0.64	0.76421905
0.64	0.6168303
0.72	0.58646965
0.63	0.6653746
0.65	0.72270894
0.75	0.52665794
0.68	0.6410469
0.67	0.6352495
0.62	0.6250932
0.73	0.6363539
0.69	0.6197396
0.73	0.57491565
0.67	0.63282466
0.66	0.6709668
0.69	0.6136489
0.71	0.5675327
0.61	0.6640608
0.68	0.62030065
0.63	0.65849245
0.64	0.60561365
0.7	0.6077418
0.62	0.7248171
0.7	0.5699804
0.67	0.60592926
0.67	0.669708
0.72	0.5205149
0.62	0.6250581
0.67	0.6077691
0.74	0.5842381
0.61	0.68759674
0.68	0.620112
0.77	0.5659826
0.66	0.6632574
